id,scheduled_at,board_name,keyword,intent,content_angle,trend_monthly_change,visual_strategy,landing_type,title,description,link,image_url,product_2_title,product_2_handle,product_2_image_url,generated_image_prompt,requires_ai_image,alt_text,product_title,product_handle,status
1001,2026-07-21T12:00:00.000Z,Banheiro organizado,banheiro pequeno organizado,Banheiro organizado,produto,,product_in_environment,product,Porta-Papel Higiênico de Parede Moderno Duplo para Banheiro,"Porta-Papel Higiênico de Parede Moderno Duplo para Banheiro completa a decoração do banheiro com praticidade e aparência sofisticada no dia a dia. Destaque para modelo duplo e cor/acabamento preto. Clique no botão ""Acessar o site"" para ver detalhes, medidas, preço e comprar na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto por ter vindo do Pinterest.",https://chiquehome.com.br/products/porta-papel-higienico-de-parede-moderno-duplo-para-banheiro-preto?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_organic_chiquehome&utm_content=banheiro_pequeno_organizado_1001,https://chiquehome.com.br/cdn/shop/files/porta-papel-higienico-de-parede-para-banheiro-moderno-duplo-preto-detalhe_b1ef1b65-37fb-4c5b-bc3d-e9cba60dce50.jpg?v=1783619178,,,,"Pinterest Pin vertical 2:3, imagem bonita full-bleed, sem card, sem borda, estilo foto premium realista. Tema: banheiro pequeno organizado. Cenário: banheiro organizado com suporte de parede, nichos, porta-shampoo no box e poucos objetos aparentes. Usar paleta Chique Home: off-white, bege, madeira clara, taupe suave, preto fosco, luz quente, visual premium brasileiro. Aplicar visualmente o produto da Shopify em outro ambiente realista de forma natural. Produto: Porta-Papel Higiênico de Parede Moderno Duplo para Banheiro. Sem texto grande, foco em inspirar clique para compra.",yes,Porta-Papel Higiênico de Parede Moderno Duplo para Banheiro - banheiro pequeno organizado Chique Home,Porta-Papel Higiênico de Parede Moderno Duplo para Banheiro - Preto,porta-papel-higienico-de-parede-moderno-duplo-para-banheiro-preto,ready
1002,2026-07-21T14:00:00.000Z,Banheiro organizado,porta papel banheiro moderno,Banheiro organizado,produto,,product_full_bleed,product,Porta-Papel Higiênico de Parede Moderno para Banheiro,"Porta-Papel Higiênico de Parede Moderno para Banheiro valoriza a bancada do banheiro com um detalhe funcional, discreto e fácil de combinar. Destaque para cor/acabamento dourado. Clique no botão ""Acessar o site"" para ver detalhes, medidas, preço e comprar na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto por ter vindo do Pinterest.",https://chiquehome.com.br/products/porta-papel-higienico-de-parede-moderno-para-banheiro-dourado?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_organic_chiquehome&utm_content=porta_papel_banheiro_moderno_1002,https://cdn.shopify.com/s/files/1/0864/2432/2353/files/Porta_Papel_Higienico_de_Parede_moderno_para_Banheiro_Dourado.webp?v=1779417252,,,,"Usar foto original do produto da Shopify em formato vertical cheio, sem moldura e sem card. Produto: Porta-Papel Higiênico de Parede Moderno para Banheiro. Se precisar, aplicar fundo limpo premium e manter o produto grande e claro. Cupom PINTEREST10 apenas discreto, se houver texto.",no,Porta-Papel Higiênico de Parede Moderno para Banheiro - porta papel banheiro moderno Chique Home,Porta-Papel Higiênico de Parede Moderno para Banheiro - Dourado,porta-papel-higienico-de-parede-moderno-para-banheiro-dourado,ready
1003,2026-07-21T16:00:00.000Z,Banheiro organizado,organizador de maquiagem,Banheiro organizado,ambiente,,environment_full_bleed,collection,Organizador de maquiagem,"Inspiração de organizador de maquiagem para transformar o banheiro com poucos elementos e acabamento mais elegante. Clique no botão ""Acessar o site"" para ver detalhes, medidas, preço e comprar na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto por ter vindo do Pinterest.",https://chiquehome.com.br/collections/banheiro-organizado?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_organic_chiquehome&utm_content=organizador_de_maquiagem_1003,https://cdn.shopify.com/s/files/1/0864/2432/2353/files/Organizador_de_Maquiagem_Porta_Pincel_em_Acrilico_Giratorio_preto.webp?v=1751413621,,,,"Pinterest Pin vertical 2:3, imagem bonita full-bleed, sem card, sem borda, estilo foto premium realista. Tema: organizador de maquiagem. Cenário: banheiro organizado com suporte de parede, nichos, porta-shampoo no box e poucos objetos aparentes. Usar paleta Chique Home: off-white, bege, madeira clara, taupe suave, preto fosco, luz quente, visual premium brasileiro. Criar um cenário inspiracional de ambiente, sem texto grande. A imagem precisa parecer resultado real de busca no Pinterest, bonita e clicável. Produto relacionado: Organizador de Maquiagem Porta Pincel em Acrílico Giratório, aplicar apenas se fizer sentido natural.",yes,Organizador de Maquiagem Porta Pincel em Acrílico Giratório - organizador de maquiagem Chique Home,Organizador de Maquiagem Porta Pincel em Acrílico Giratório,organizador-de-maquiagem-porta-pincel-em-acrilico-giratorio,ready
1004,2026-07-21T18:00:00.000Z,Banheiro organizado,bandeja para banheiro,Banheiro organizado,ambiente,,environment_title_overlay,collection,Bandeja para banheiro,"Bandeja para banheiro combina praticidade e estética para um banheiro mais limpo e sofisticado. Clique no botão ""Acessar o site"" para ver detalhes, medidas, preço e comprar na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto por ter vindo do Pinterest.",https://chiquehome.com.br/collections/banheiro-organizado?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_organic_chiquehome&utm_content=bandeja_para_banheiro_1004,https://cdn.shopify.com/s/files/1/0864/2432/2353/files/Bandeja_para_Banheiro_Lavabo_Decorativa_Redonda_Decoracao_verde.webp?v=1751410419,,,,"Pinterest Pin vertical 2:3, imagem bonita full-bleed, sem card, sem borda, estilo foto premium realista. Tema: bandeja para banheiro. Cenário: banheiro organizado com suporte de parede, nichos, porta-shampoo no box e poucos objetos aparentes. Usar paleta Chique Home: off-white, bege, madeira clara, taupe suave, preto fosco, luz quente, visual premium brasileiro. Criar cenário bonito com título centralizado, curto e clicável em português: ""Bandeja para banheiro"". Texto elegante, alto contraste, estilo Pinterest Brasil, sem poluir. Cupom PINTEREST10 pequeno no canto inferior.",yes,Bandeja para Banheiro/Lavabo Decorativa Redonda - bandeja para banheiro Chique Home,Bandeja para Banheiro/Lavabo Decorativa Redonda - Decoração,bandeja-para-banheiro-lavabo-decorativa-redonda-decoracao,ready
1005,2026-07-21T20:00:00.000Z,Banheiro organizado,organizador de banheiro sofisticado,Banheiro organizado,ambiente,,product_title_overlay,collection,Organizador de Maquiagem Porta Pincel em Acrílico Giratório,"Organizador de Maquiagem Porta Pincel em Acrílico Giratório ajuda a organizar melhor o espaço sem abrir mão de um visual limpo e bonito. Destaque para cor/acabamento preto. Clique no botão ""Acessar o site"" para ver detalhes, medidas, preço e comprar na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto por ter vindo do Pinterest.",https://chiquehome.com.br/collections/banheiro-organizado?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_organic_chiquehome&utm_content=organizador_de_banheiro_sofisticado_1005,https://cdn.shopify.com/s/files/1/0864/2432/2353/files/Organizador_de_Maquiagem_Porta_Pincel_em_Acrilico_Giratorio_preto.webp?v=1751413621,,,,"Pinterest Pin vertical 2:3, imagem bonita full-bleed, sem card, sem borda, estilo foto premium realista. Tema: organizador de banheiro sofisticado. Cenário: banheiro organizado com suporte de parede, nichos, porta-shampoo no box e poucos objetos aparentes. Usar paleta Chique Home: off-white, bege, madeira clara, taupe suave, preto fosco, luz quente, visual premium brasileiro. Criar imagem com o produto em destaque e título centralizado usando o nome do produto ou colecao: ""Organizador de Maquiagem Porta Pincel em Acrílico Giratório"". Visual premium, elegante, estilo Pinterest Brasil, sem lista e sem marcadores. Cupom PINTEREST10 discreto.",yes,Organizador de Maquiagem Porta Pincel em Acrílico Giratório - organizador de banheiro sofisticado Chique Home,Organizador de Maquiagem Porta Pincel em Acrílico Giratório,organizador-de-maquiagem-porta-pincel-em-acrilico-giratorio,ready
1006,2026-07-22T12:00:00.000Z,Tapetes para cozinha,tapete de cozinha absorvente,Tapetes para cozinha,produto,,product_in_environment,product,Tapete para Cozinha Antiderrapante Absorvente,"Tapete para Cozinha Antiderrapante Absorvente deixa a área da pia ou bancada mais aconchegante, sem abrir mão de praticidade no dia a dia. Destaque para cor/acabamento bege areia. Clique no botão ""Acessar o site"" para ver detalhes, medidas, preço e comprar na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto por ter vindo do Pinterest.",https://chiquehome.com.br/products/tapete-para-cozinha-antiderrapante-absorvente-bege-areia?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_organic_chiquehome&utm_content=tapete_de_cozinha_absorvente_1006,https://cdn.shopify.com/s/files/1/0864/2432/2353/files/Tapete_para_Cozinha_Antiderrapante_Absorvente_Bege_Areia_2.webp?v=1769546391,,,,"Pinterest Pin vertical 2:3, imagem bonita full-bleed, sem card, sem borda, estilo foto premium realista. Tema: tapete de cozinha absorvente. Cenário: cozinha moderna e funcional com passadeira ou tapete antiderrapante em destaque no piso, bancada organizada e luz natural. Usar paleta Chique Home: off-white, bege, madeira clara, taupe suave, preto fosco, luz quente, visual premium brasileiro. Aplicar visualmente o produto da Shopify em outro ambiente realista de forma natural. Produto: Tapete para Cozinha Antiderrapante Absorvente. Sem texto grande, foco em inspirar clique para compra.",yes,Tapete para Cozinha Antiderrapante Absorvente - tapete de cozinha absorvente Chique Home,Tapete para Cozinha Antiderrapante Absorvente - Bege Areia,tapete-para-cozinha-antiderrapante-absorvente-bege-areia,ready
1007,2026-07-22T14:00:00.000Z,Tapetes para cozinha,tapete para cozinha,Tapetes para cozinha,produto,,product_full_bleed,product,Tapete para Cozinha Antiderrapante Absorvente,"Tapete para Cozinha Antiderrapante Absorvente ajuda a compor uma cozinha mais bonita e funcional, com presença discreta no piso. Destaque para cor/acabamento nude. Clique no botão ""Acessar o site"" para ver detalhes, medidas, preço e comprar na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto por ter vindo do Pinterest.",https://chiquehome.com.br/products/tapete-para-cozinha-antiderrapante-absorvente-nude?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_organic_chiquehome&utm_content=tapete_para_cozinha_1007,https://cdn.shopify.com/s/files/1/0864/2432/2353/files/Tapete_para_Cozinha_Antiderrapante_Absorvente_Nude.webp?v=1769546586,,,,"Usar foto original do produto da Shopify em formato vertical cheio, sem moldura e sem card. Produto: Tapete para Cozinha Antiderrapante Absorvente. Se precisar, aplicar fundo limpo premium e manter o produto grande e claro. Cupom PINTEREST10 apenas discreto, se houver texto.",no,Tapete para Cozinha Antiderrapante Absorvente - tapete para cozinha Chique Home,Tapete para Cozinha Antiderrapante Absorvente - Nude,tapete-para-cozinha-antiderrapante-absorvente-nude,ready
1008,2026-07-22T16:00:00.000Z,Tapetes para cozinha,passadeira para cozinha,Tapetes para cozinha,ambiente,,environment_full_bleed,collection,Passadeira para cozinha,"Inspiração de passadeira para cozinha para uma cozinha mais prática, clara e elegante, com detalhes que melhoram o uso diário. Clique no botão ""Acessar o site"" para ver detalhes, medidas, preço e comprar na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto por ter vindo do Pinterest.",https://chiquehome.com.br/collections/tapetes-para-cozinha?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_organic_chiquehome&utm_content=passadeira_para_cozinha_1008,https://cdn.shopify.com/s/files/1/0864/2432/2353/files/Tapete_para_Cozinha_Antiderrapante_Passadeira_Absorvente_bege.webp?v=1745846307,,,,"Pinterest Pin vertical 2:3, imagem bonita full-bleed, sem card, sem borda, estilo foto premium realista. Tema: passadeira para cozinha. Cenário: cozinha moderna e funcional com passadeira ou tapete antiderrapante em destaque no piso, bancada organizada e luz natural. Usar paleta Chique Home: off-white, bege, madeira clara, taupe suave, preto fosco, luz quente, visual premium brasileiro. Criar um cenário inspiracional de ambiente, sem texto grande. A imagem precisa parecer resultado real de busca no Pinterest, bonita e clicável. Produto relacionado: Tapete para Cozinha Antiderrapante Passadeira Absorvente, aplicar apenas se fizer sentido natural.",yes,Tapete para Cozinha Antiderrapante Passadeira Absorvente - passadeira para cozinha Chique Home,Tapete para Cozinha Antiderrapante Passadeira Absorvente - Bege,tapete-para-cozinha-antiderrapante-passadeira-absorvente-bege,ready
1009,2026-07-22T18:00:00.000Z,Tapetes para cozinha,tapete antiderrapante para cozinha,Tapetes para cozinha,ambiente,,environment_title_overlay,collection,Tapete antiderrapante para cozinha,"Ideia de tapete antiderrapante para cozinha para deixar a cozinha mais confortável, organizada e visualmente bem resolvida. Clique no botão ""Acessar o site"" para ver detalhes, medidas, preço e comprar na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto por ter vindo do Pinterest.",https://chiquehome.com.br/collections/tapetes-para-cozinha?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_organic_chiquehome&utm_content=tapete_antiderrapante_para_cozinha_1009,https://cdn.shopify.com/s/files/1/0864/2432/2353/files/Tapete_para_Cozinha_Antiderrapante_Absorvente_Nude.webp?v=1769546586,,,,"Pinterest Pin vertical 2:3, imagem bonita full-bleed, sem card, sem borda, estilo foto premium realista. Tema: tapete antiderrapante para cozinha. Cenário: cozinha moderna e funcional com passadeira ou tapete antiderrapante em destaque no piso, bancada organizada e luz natural. Usar paleta Chique Home: off-white, bege, madeira clara, taupe suave, preto fosco, luz quente, visual premium brasileiro. Criar cenário bonito com título centralizado, curto e clicável em português: ""Tapete antiderrapante para cozinha"". Texto elegante, alto contraste, estilo Pinterest Brasil, sem poluir. Cupom PINTEREST10 pequeno no canto inferior.",yes,Tapete para Cozinha Antiderrapante Absorvente - tapete antiderrapante para cozinha Chique Home,Tapete para Cozinha Antiderrapante Absorvente - Nude,tapete-para-cozinha-antiderrapante-absorvente-nude,ready
1010,2026-07-22T20:00:00.000Z,Tapetes para cozinha,tapete cozinha bege,Tapetes para cozinha,ambiente,,product_title_overlay,collection,Tapete para Cozinha Antiderrapante Absorvente,"Tapete para Cozinha Antiderrapante Absorvente ajuda a compor uma cozinha mais bonita e funcional, com presença discreta no piso. Destaque para cor/acabamento bege areia. Clique no botão ""Acessar o site"" para ver detalhes, medidas, preço e comprar na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto por ter vindo do Pinterest.",https://chiquehome.com.br/collections/tapetes-para-cozinha?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_organic_chiquehome&utm_content=tapete_cozinha_bege_1010,https://cdn.shopify.com/s/files/1/0864/2432/2353/files/Tapete_para_Cozinha_Antiderrapante_Absorvente_Bege_Areia_2.webp?v=1769546391,,,,"Pinterest Pin vertical 2:3, imagem bonita full-bleed, sem card, sem borda, estilo foto premium realista. Tema: tapete cozinha bege. Cenário: cozinha moderna e funcional com passadeira ou tapete antiderrapante em destaque no piso, bancada organizada e luz natural. Usar paleta Chique Home: off-white, bege, madeira clara, taupe suave, preto fosco, luz quente, visual premium brasileiro. Criar imagem com o produto em destaque e título centralizado usando o nome do produto ou colecao: ""Tapete para Cozinha Antiderrapante Absorvente"". Visual premium, elegante, estilo Pinterest Brasil, sem lista e sem marcadores. Cupom PINTEREST10 discreto.",yes,Tapete para Cozinha Antiderrapante Absorvente - tapete cozinha bege Chique Home,Tapete para Cozinha Antiderrapante Absorvente - Bege Areia,tapete-para-cozinha-antiderrapante-absorvente-bege-areia,ready
